City,Lat,Lng,Temperature,Humidity,Cloudiness,Windspeed,Country,Date
taoudenni,22.6783,-3.9836,63.0,23,0,9.22,ML,1669857671
fare,-16.7,-151.0167,79.97,78,10,14.34,PF,1669857834
kudahuvadhoo,2.6708,72.8944,80.1,67,34,3.51,MV,1669857835
iquique,-20.2208,-70.1431,66.24,81,34,3.6,CL,1669857835
cockburn town,21.4612,-71.1419,81.07,69,41,18.7,TC,1669857835
hamilton,39.1834,-84.5333,34.09,61,0,14.97,US,1669857187
kerur,16.0167,75.5667,62.06,49,0,4.14,IN,1669857836
hobyo,5.3505,48.5268,78.57,80,88,11.16,SO,1669857836
torata,-17.0769,-70.8433,54.37,62,0,1.95,PE,1669857837
thio,-21.6167,166.2167,93.16,66,58,5.1,NC,1669857837
barcelos,41.5388,-8.6151,51.94,87,92,4.74,PT,1669857838
xichang,27.8964,102.2634,47.93,75,58,1.83,CN,1669857838
lebyazhye,55.2689,66.4947,4.98,80,100,9.71,RU,1669857839
zaysan,47.4667,84.8667,1.09,87,100,2.59,KZ,1669857839
urengoy,65.9667,78.3667,-8.5,99,72,6.89,RU,1669857840
truth or consequences,33.1284,-107.2528,53.83,32,0,6.91,US,1669857840
yar-sale,66.8333,70.8333,-10.44,100,8,4.83,RU,1669857840
makokou,0.5738,12.8642,67.15,98,98,2.64,GA,1669857841
krasnoarmeysk,51.0239,45.6969,19.65,83,6,5.35,RU,1669857841
baykit,61.67,96.37,-0.51,97,100,3.71,RU,1669857842
evensk,61.95,159.2333,28.02,98,100,6.67,RU,1669857842
lodja,-3.4833,23.4333,66.96,100,99,1.95,CD,1669857842
fort nelson,58.8053,-122.7002,-16.06,86,0,3.44,CA,1669857843
petropavlovsk-kamchatskiy,53.0452,158.6483,30.79,69,20,6.71,RU,1669857843
mehamn,71.0357,27.8492,31.95,86,100,5.75,NO,1669857844
nynashamn,58.9034,17.9479,39.2,78,100,4.74,SE,1669857844
nushki,29.5542,66.0215,51.3,35,100,0.83,PK,1669857845
dawei,14.0833,98.2,77.61,87,73,2.89,MM,1669857845
la victoria,10.2184,-67.3302,66.56,96,2,4.34,VE,1669857846
pacific grove,36.6177,-121.9166,53.28,72,0,4.61,US,1669857608
tura,25.5198,90.2201,61.07,87,1,3.62,IN,1669857846
krapina,46.1608,15.8789,38.5,99,100,4.72,HR,1669857847
natal,-5.795,-35.2094,79.45,73,40,8.05,BR,1669857847
moree,-29.4667,149.85,73.9,42,100,6.93,AU,1669857848
fallon,39.4735,-118.7774,47.91,33,75,5.75,US,1669857848
havoysund,70.9963,24.6622,35.83,82,40,6.2,NO,1669857849
puerto narino,-3.7703,-70.3831,76.37,88,100,3.49,CO,1669857849
qala,40.4418,50.1681,42.69,87,100,9.22,AZ,1669857850
blythe,33.6103,-114.5964,63.05,34,0,3.44,US,1669857577
coahuayana,18.7333,-103.6833,76.69,87,32,1.92,MX,1669857851
balsas,-7.5325,-46.0356,73.92,91,100,2.39,BR,1669857851
great falls,47.5002,-111.3008,36.79,60,100,20.71,US,1669857851
bockenem,52.0099,10.132,41.68,85,91,5.55,DE,1669857852
namibe,-15.1961,12.1522,68.97,79,100,8.59,AO,1669857852
lima,-12.0432,-77.0282,68.25,68,0,12.66,PE,1669857804
dicabisagan,17.0818,122.4157,79.74,82,99,9.44,PH,1669857853
matara,5.9485,80.5353,75.34,88,100,2.89,LK,1669857853
areosa,41.7178,-8.8571,53.62,85,99,4.81,PT,1669857854
puqi,29.7167,113.8833,29.64,88,100,5.97,CN,1669857854
port macquarie,-31.4333,152.9167,65.89,68,100,9.28,AU,1669857557
marzuq,14.4,46.4667,59.43,67,0,1.83,YE,1669857855
ankpa,7.3706,7.6253,73.02,31,73,0.31,NG,1669857733
alamosa,37.4695,-105.87,19.38,63,0,5.75,US,1669857856
coffs harbour,-30.3,153.1333,62.13,94,75,11.5,AU,1669857856
kuytun,54.3419,101.5036,1.65,73,100,12.75,RU,1669857857
makambako,-8.8453,34.823,60.71,89,100,9.75,TZ,1669857857
saint-pierre,-21.3393,55.4781,73.08,64,20,5.75,RE,1669857669
kloulklubed,7.0419,134.2556,84.7,75,100,16.51,PW,1669857858
ambilobe,-13.2,49.05,74.86,86,78,0.92,MG,1669857858
terrace,54.5163,-128.6035,13.91,40,20,8.05,CA,1669857737
komsomolskiy,40.4272,71.7189,50.72,57,100,20.71,UZ,1669857664
kabinda,-6.1333,24.4833,65.7,99,100,4.34,CD,1669857859
dalbandin,28.8947,64.4101,55.83,35,100,6.51,PK,1669857850
grindavik,63.8424,-22.4338,45.07,81,75,28.77,IS,1669857860
kirakira,-10.4544,161.9205,83.61,76,75,5.1,SB,1669857860
tinskoy,56.1525,96.9161,-1.77,95,100,14.54,RU,1669857860
njeru,0.4186,33.1731,64.15,90,100,1.32,UG,1669857861
beloha,-25.1667,45.05,69.62,89,100,9.42,MG,1669857861
negombo,7.2083,79.8358,76.05,83,100,3.8,LK,1669857862
gao,16.6362,1.637,71.87,21,36,9.24,ML,1669857862
khandbari,27.3747,87.2039,55.11,55,0,3.65,NP,1669857863
lawrenceburg,38.0373,-84.8966,34.56,60,0,8.05,US,1669857863
bambous virieux,-20.3428,57.7575,72.21,94,75,3.44,MU,1669857864
niquelandia,-14.4739,-48.4597,68.79,94,16,1.39,BR,1669857864
aqtobe,50.2797,57.2072,5.09,78,0,4.47,KZ,1669857865
saint-francois,46.4154,3.9054,42.24,93,100,4.61,FR,1669857865
sioux lookout,50.1001,-91.917,14.07,79,100,16.11,CA,1669857865
viedma,-40.8135,-62.9967,56.32,65,19,11.88,AR,1669857816
atar,20.5169,-13.0499,69.33,17,6,6.82,MR,1669857866
aklavik,68.2191,-135.0107,2.88,97,100,4.27,CA,1669857866
maues,-3.3836,-57.7186,78.28,79,47,2.55,BR,1669857867
biak,-0.9131,122.8766,82.11,66,100,1.59,ID,1669857601
tautira,-17.7333,-149.15,78.66,81,20,12.86,PF,1669857867
chippewa falls,44.9369,-91.3929,16.97,72,0,11.5,US,1669857060
tiarei,-17.5333,-149.3333,86.02,81,6,14.09,PF,1669857868
daru,-9.0763,143.2092,84.13,68,100,8.19,PG,1669857869
mwingi,-0.9344,38.0601,65.82,88,99,2.55,KE,1669857869
vila franca do campo,37.7167,-25.4333,60.19,85,4,4.59,PT,1669857869
klaksvik,62.2266,-6.589,49.12,97,100,32.14,FO,1669857870
epitalion,37.6333,21.5,55.27,80,100,1.01,GR,1669857870
macusani,-14.0833,-70.4333,38.5,76,73,3.22,PE,1669857871
severo-yeniseyskiy,60.3725,93.0408,-1.71,97,100,8.9,RU,1669857871
kieta,-6.2167,155.6333,84.36,73,98,6.4,PG,1669857872
gushikawa,26.3544,127.8686,67.23,82,75,17.27,JP,1669857872
zhangye,38.9342,100.4517,15.21,48,10,4.99,CN,1669857873
salvador,13.8333,-88.9167,75.06,78,100,0.43,SV,1669857873
marawi,7.9986,124.2928,76.48,74,45,3.22,PH,1669857859
sao jose da coroa grande,-8.8978,-35.1478,76.96,82,99,7.83,BR,1669857874
goderich,43.7501,-81.7165,32.32,59,100,26.46,CA,1669857874
boende,-0.2167,20.8667,67.24,99,100,0.34,CD,1669857875
tena,-0.9833,-77.8167,71.64,98,100,3.65,EC,1669857875
the valley,18.217,-63.0578,79.83,83,20,6.91,AI,1669857876
yeppoon,-23.1333,150.7333,69.58,83,100,14.32,AU,1669857876
sorland,67.667,12.6934,40.86,68,97,10.07,NO,1669857876
krivosheino,57.3431,83.9261,-20.27,100,10,2.82,RU,1669857877
ulaanbaatar,47.9077,106.8832,-27.27,68,0,0.0,MN,1669857804
lamar,33.6668,-95.5836,40.98,66,0,4.61,US,1669857877
sciacca,37.5082,13.0881,53.02,83,0,8.88,IT,1669857878
jaciara,-15.9653,-54.9683,70.84,94,100,2.64,BR,1669857878
vagay,57.9375,69.0217,-4.47,92,75,4.27,RU,1669857879
sambava,-14.2667,50.1667,71.71,90,4,4.12,MG,1669857879
zhigansk,66.7697,123.3711,-29.78,98,72,7.87,RU,1669857880
soria,41.6667,-2.6667,32.86,84,97,2.93,ES,1669857880
asau,46.4333,26.4,31.28,96,100,2.73,RO,1669857880
yumbe,3.4651,31.2469,66.09,86,100,3.36,UG,1669857881
maceio,-9.6658,-35.7353,76.44,88,75,9.22,BR,1669857881
rawah,34.4816,41.9093,58.51,67,30,3.87,IQ,1669857882
adrar,20.5022,-10.0711,65.12,19,9,9.24,MR,1669857882
laguna,38.421,-121.4238,55.9,58,0,5.75,US,1669857713
alta floresta,-9.8756,-56.0861,70.56,94,41,2.68,BR,1669857883
auki,-8.7676,160.7034,81.34,82,99,6.2,SB,1669857883
sandwick,60.0,-1.25,48.02,87,75,20.71,GB,1669857884
westerland,54.9079,8.3033,40.01,93,100,9.22,DE,1669857884
plettenberg bay,-34.0527,23.3716,62.76,82,0,3.06,ZA,1669857884
waddan,29.1614,16.139,52.36,49,0,2.04,LY,1669857885
iqaluit,63.7506,-68.5145,-20.31,68,0,15.01,CA,1669857885
thinadhoo,0.5333,72.9333,80.64,63,31,4.27,MV,1669857886
grand gaube,-20.0064,57.6608,72.37,75,55,4.0,MU,1669857886
columbus,39.9612,-82.9988,32.52,65,20,19.57,US,1669857087
road town,18.4167,-64.6167,80.69,89,40,6.91,VG,1669857887
tabory,58.5198,64.5495,-2.45,97,90,2.46,RU,1669857887
sangar,63.9242,127.4739,-38.38,99,98,3.13,RU,1669857888
lagoa,39.05,-27.9833,61.61,74,0,6.4,PT,1669857888
gold coast,-28.0,153.4333,66.9,92,100,18.41,AU,1669857881
koutiala,12.3917,-5.4642,75.58,21,42,5.44,ML,1669857889
ballina,-28.8667,153.5667,61.02,99,100,16.75,AU,1669857674
ranong,9.9658,98.6348,80.53,87,100,4.23,TH,1669857600
abu samrah,35.3029,37.1841,53.46,91,91,3.91,SY,1669857890
vilyuysk,63.7553,121.6247,-27.09,97,100,5.75,RU,1669857890
vad,55.5301,44.2114,1.81,98,25,0.89,RU,1669857890
neiafu,-18.65,-173.9833,84.88,79,40,11.5,TO,1669857891
winnemucca,40.973,-117.7357,41.05,36,100,5.75,US,1669857891
takapau,-40.0333,176.35,64.72,61,52,9.46,NZ,1669857892
teguise,29.0605,-13.564,59.22,67,20,6.91,ES,1669857892
waterloo,43.4668,-80.5164,28.47,96,100,18.41,CA,1669857812
cascavel,-24.9558,-53.4553,64.38,86,11,3.65,BR,1669857893
kommunisticheskiy,61.6789,64.4819,-8.12,100,91,1.79,RU,1669857893
fossombrone,43.6908,12.8127,44.53,86,100,7.02,IT,1669857893
ambon,-3.6954,128.1814,82.54,83,40,3.44,ID,1669857894
beipiao,41.7919,120.7792,13.78,28,0,13.02,CN,1669857894
catamarca,-28.4696,-65.7852,73.78,69,100,4.0,AR,1669857726
tukrah,32.5341,20.5791,62.35,66,13,18.01,LY,1669857895
villa rica,33.7321,-84.9191,47.8,64,0,9.64,US,1669857895
ayr,55.4627,-4.6339,42.78,93,75,4.61,GB,1669857896
sao domingos,-13.3983,-46.3183,68.18,94,78,3.4,BR,1669857896
henties bay,-22.116,14.2845,60.21,88,6,6.44,NA,1669857896
puerto escondido,15.85,-97.0667,77.83,65,75,8.05,MX,1669857897
ossora,59.2353,163.0719,34.34,99,100,4.61,RU,1669857897
klyuchi,52.2667,79.1667,-6.09,86,27,8.52,RU,1669857898
najran,17.4924,44.1277,56.05,43,1,1.99,SA,1669857898
lebanon,36.2081,-86.2911,41.13,72,0,0.0,US,1669857697
sarangani,5.4033,125.4636,81.7,78,100,18.43,PH,1669857898
dauriya,49.9333,116.8667,-11.79,92,71,12.1,RU,1669857899
nouadhibou,20.931,-17.0347,64.53,75,4,16.22,MR,1669857899
avera,33.194,-82.5271,54.91,56,0,13.62,US,1669857900
cap-aux-meules,47.3821,-61.8597,37.45,75,100,25.32,CA,1669857622
kaduqli,11.0167,29.7167,75.65,30,55,5.99,SD,1669857900
isla mujeres,21.2311,-86.731,80.65,78,9,13.56,MX,1669857901
tabas,33.5959,56.9244,53.82,37,100,2.3,IR,1669857901
onega,63.9061,38.1404,16.88,89,100,5.12,RU,1669857902
nanortalik,60.1432,-45.2371,27.54,78,65,32.59,GL,1669857902
naze,28.3667,129.4833,59.92,75,100,19.62,JP,1669857903
phan thiet,10.9333,108.1,79.38,73,100,5.44,VN,1669857898
mubende,0.5606,31.39,61.16,98,100,0.58,UG,1669857903
